latitude,longitude,landslide_size,landslide_trigger
17.7963,96.1703,2,14
44.3562,-123.7155,4,15
45.68818457,-122.7038422,3,3
36.8242,-119.7847,3,12
11.2246,-60.7428,2,3
28.0791,96.5242,2,3
-21.1313,148.4943,2,3
56.1956,-4.7485,2,3
22.2666,104.07,2,14
19.3805,84.5699,2,3
11.2181,-60.6234,2,3
43.1325,-124.3505,4,15
36.2629,-115.6158,2,12
25.83762589,93.94633448,2,1
30.2258,78.3755,2,3
45.8569,-118.9066,4,15
49.2966,-123.1357,2,12
11.0551,122.4742,2,14
34.2062,-117.7994,3,3
46.4768,-116.4548,3,12
-42.521674,173.487651,1,12
36.3812,52.8557,2,15
25.69111465,94.09483333,2,12
13.8491,-61.0656,2,14
43.7495,-109.9673,2,15
9.0655,-79.5516,2,3
-16.53006,179.991364,3,12
14.6,-88.9144,3,12
3.1497,101.7036,2,3
36.3762,-5.2489,2,3
48.6449901,-116.3498136,2,15
28.0877,83.0971,2,12
46.9785,-123.8671,2,3
-39.88172973,175.715291,2,10
-9.632058442,160.1781839,2,12
46.8189,-120.8603,2,12
8.6815,-70.7016,2,12
45.6028,-122.4371,2,1
0.324315182,123.3382454,4,3
51.8881,-9.5825,3,8
29.2409,95.9761,2,3
34.1622,108.903,2,15
-38.6663,178.0235,3,15
33.0068,74.9455,2,3
33.5808,74.9035,2,3
11.328578,76.903045,3,14
35.3368,-84.0317,1,12
44.6323,-124.0505,2,3
26.8016,88.0499,1,3
27.7172,83.4658,2,3
-13.8158,-70.2659,2,3
47.992,-122.3662,3,3
27.1936,99.4527,2,12
44.5498,-120.3381,4,15
40.4336,-111.7471,2,3
43.1159,-124.2912,4,15
34.866733,-111.766985,3,12
45.5161,-122.3695,4,15
32.6635,130.2964,2,3
-6.25,106.1,2,12
19.0397,72.907,2,3
18.0761,-76.2914,2,3
33.5667,107.9833,2,12
53.0586,-3.0939,2,12
50.67961805,-3.231703627,2,3
45.9572,-123.9267,4,15
9.7268,76.8081,2,3
37.3312,-122.2116,2,15
40.4377,-79.916,3,12
27.1176,88.1069,1,3
35.46378481,73.24949043,3,15
-32.8224,-69.9146,2,12
27.97875751,94.26296826,3,12
-12.1407,-77.0271,3,15
-22.8547,-43.0921,2,3
29.4848,119.2777,2,3
8.6251,125.9211,1,14
17.4999,121.132,2,3
37.6142,-81.8692,2,12
48.883075,-118.600077,3,12
39.125,-84.4645,3,1
33.1261,75.4481,2,15
27.174,95.8011,1,3
60.7771,-148.7315,2,12
13.8801,124.3075,2,3
58.733,-136.8878,5,15
33.1595,75.8011,2,3
24.5478,121.8496,2,14
-6.9085,106.9284,2,12
6.092,125.3956,2,12
14.8977,120.2377,2,3
4.9833,114.917,2,12
12.89307458,74.88567317,2,3
30.2485,78.8847,2,3
26.10973183,91.80317334,2,1
45.9159,-123.1427,4,15
-22.9112,-43.0503,2,3
47.2586,-122.263,1,3
22.3605,91.8236,3,0
22.6194,114.0945,1,3
38.196,15.5445,1,3
15.4951,73.8288,3,3
33.08146902,75.29750088,3,3
0.39819,123.2233838,2,12
28.2974,83.8,2,9
28.058,83.3588,2,3
12.9564,109.0574,2,3
0.9039,123.0963,1,3
44.0327,-123.8565,4,15
49.558733,-121.429282,3,3
42.9634,-123.8289,4,15
6.9615,122.0727,2,0
